Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,mean_time
45,No,Non-Travel,Sales,2,4,Life Sciences,1,886,Male,2,Manufacturing Director,Married,58550,1.0,Y,14,8,1,10.0,3,10,4,5,1.0,1.0,3.0,2,3,"7,4007"
31,No,Travel_Frequently,Research & Development,7,3,Medical,1,887,Male,2,Research Scientist,Single,36170,7.0,Y,21,8,1,10.0,5,5,0,3,4.0,1.0,3.0,3,4,"6,6856"
36,No,Travel_Rarely,Research & Development,18,1,Medical,1,888,Male,2,Manufacturing Director,Married,67250,9.0,Y,17,8,1,7.0,3,3,1,1,3.0,3.0,3.0,3,3,"10,7415"
34,No,Travel_Frequently,Sales,28,4,Marketing,1,889,Male,5,Manufacturing Director,Divorced,103250,1.0,Y,11,8,1,9.0,3,9,7,2,3.0,4.0,3.0,2,3,"5,8571"
49,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,890,Male,3,Healthcare Representative,Married,69490,1.0,Y,14,8,1,10.0,2,9,1,4,3.0,1.0,2.0,3,3,"7,0027"
39,No,Travel_Rarely,Research & Development,6,2,Life Sciences,1,891,Male,3,Research Scientist,Married,106090,2.0,Y,17,8,1,10.0,2,7,7,7,2.0,1.0,3.0,3,3,"6,0662"
27,No,Travel_Rarely,Research & Development,2,1,Life Sciences,1,892,Male,4,Research Scientist,Divorced,44470,1.0,Y,13,8,0,7.0,4,7,0,7,4.0,1.0,3.0,3,3,"5,9437"
35,No,Travel_Rarely,Research & Development,2,3,Medical,1,893,Female,2,Sales Executive,Married,21570,1.0,Y,25,8,0,16.0,1,16,1,10,2.0,1.0,3.0,2,4,"7,1756"
28,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,894,Male,3,Manufacturing Director,Divorced,46010,0.0,Y,15,8,2,6.0,2,5,0,0,2.0,1.0,2.0,3,3,"7,1174"
21,No,Travel_Rarely,Research & Development,3,1,Life Sciences,1,895,Female,1,Laboratory Technician,Single,170990,1.0,Y,14,8,1,3.0,2,2,2,2,3.0,4.0,3.0,3,3,"7,4377"
18,Yes,Travel_Frequently,Research & Development,3,5,Medical,1,896,Male,1,Research Director,Single,24790,1.0,Y,12,8,1,0.0,2,0,0,0,2.0,4.0,4.0,2,3,"8,1953"
47,No,Travel_Rarely,Research & Development,25,4,Medical,1,897,Male,2,Research Scientist,Married,148520,3.0,Y,19,8,3,27.0,3,5,1,0,4.0,3.0,3.0,2,3,"5,8699"
39,No,Travel_Rarely,Sales,2,4,Life Sciences,1,898,Male,1,Laboratory Technician,Divorced,72640,0.0,Y,17,8,0,11.0,5,10,0,7,3.0,3.0,3.0,3,3,"6,2354"
40,No,Travel_Rarely,Research & Development,22,1,Life Sciences,1,899,Male,1,Laboratory Technician,Married,56660,1.0,Y,14,8,1,18.0,2,18,14,12,1.0,3.0,3.0,3,3,"7,008"
35,No,Non-Travel,Research & Development,29,3,Medical,1,900,Female,2,Sales Executive,Married,78230,1.0,Y,13,8,1,15.0,3,14,2,9,3.0,3.0,3.0,3,3,"5,7193"
37,No,Travel_Rarely,Research & Development,29,4,Technical Degree,1,901,Male,1,Laboratory Technician,Married,78800,3.0,Y,12,8,1,9.0,2,4,0,2,3.0,3.0,2.0,4,3,"7,673"
39,No,Travel_Frequently,Research & Development,2,3,Technical Degree,1,902,Female,2,Manager,Single,131940,0.0,Y,11,8,0,10.0,2,9,3,8,1.0,3.0,1.0,3,3,"6,2057"
45,No,Travel_Rarely,Research & Development,28,3,Life Sciences,1,903,Female,2,Laboratory Technician,Divorced,50670,1.0,Y,11,8,2,10.0,3,10,3,9,4.0,4.0,3.0,2,3,"7,1114"
38,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,904,Female,3,Sales Executive,Married,50790,3.0,Y,11,8,0,10.0,3,5,0,2,4.0,3.0,4.0,3,3,"8,9724"
35,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,1,905,Male,3,Healthcare Representative,Married,23210,9.0,Y,12,8,1,15.0,0,13,6,0,4.0,1.0,3.0,3,3,"5,751"
37,No,Travel_Rarely,Research & Development,22,3,Life Sciences,1,906,Female,2,Healthcare Representative,Married,174440,1.0,Y,14,8,0,8.0,4,8,7,7,2.0,2.0,1.0,3,3,"7,368"
40,No,Travel_Rarely,Research & Development,8,3,Technical Degree,1,907,Female,2,Healthcare Representative,Single,24040,6.0,Y,17,8,0,18.0,2,4,3,3,3.0,4.0,2.0,2,3,"8,8476"
44,No,Travel_Frequently,Sales,2,2,Marketing,1,908,Male,1,Laboratory Technician,Married,34520,4.0,Y,11,8,1,14.0,2,10,0,2,1.0,4.0,3.0,2,3,"8,0068"
48,No,Travel_Frequently,Sales,10,4,Marketing,1,909,Female,3,Manager,Married,22700,2.0,Y,14,8,3,23.0,2,2,2,2,3.0,4.0,3.0,3,3,"6,5119"
35,Yes,Travel_Rarely,Research & Development,9,3,Life Sciences,1,910,Male,2,Manager,Divorced,173990,6.0,Y,12,8,0,7.0,3,2,2,2,,4.0,2.0,1,3,"10,1401"
24,No,Travel_Frequently,Research & Development,15,3,Life Sciences,1,911,Male,2,Research Scientist,Single,54880,1.0,Y,22,8,1,6.0,6,6,1,3,1.0,4.0,3.0,3,4,"8,3388"
27,No,Travel_Rarely,Sales,10,4,Life Sciences,1,912,Male,3,Sales Executive,Married,194190,7.0,Y,14,8,1,5.0,2,3,0,2,2.0,3.0,3.0,1,3,"6,6233"
27,No,Travel_Frequently,Research & Development,7,3,Life Sciences,1,913,Male,1,Research Scientist,Single,28110,2.0,Y,20,8,0,6.0,3,4,1,2,4.0,4.0,2.0,3,4,"6,2557"
40,Yes,Travel_Rarely,Sales,16,4,Marketing,1,914,Male,1,Research Director,Single,36330,3.0,Y,16,8,2,10.0,0,4,0,3,1.0,1.0,1.0,3,3,"10,2762"
29,No,Travel_Rarely,Research & Development,20,1,Medical,1,915,Female,2,Manager,Single,41630,9.0,Y,15,8,1,8.0,4,5,1,4,3.0,3.0,3.0,2,3,"6,8846"
36,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,916,Female,3,Sales Executive,Married,21320,4.0,Y,20,8,0,9.0,1,3,0,2,2.0,1.0,3.0,2,4,"7,3752"
25,No,Travel_Frequently,Sales,5,1,Marketing,1,917,Male,4,Manufacturing Director,Divorced,139730,1.0,Y,14,8,0,7.0,3,7,0,7,4.0,3.0,3.0,2,3,"5,7062"
39,No,Travel_Rarely,Sales,10,3,Marketing,1,918,Female,2,Research Director,Married,26840,4.0,Y,12,8,0,7.0,2,5,1,0,4.0,2.0,3.0,3,3,"6,3385"
49,No,Travel_Rarely,Sales,4,2,Life Sciences,1,919,Male,2,Research Director,Married,108450,3.0,Y,24,8,0,27.0,4,4,1,2,1.0,2.0,3.0,2,4,"7,4877"
50,No,Travel_Rarely,Research & Development,2,2,Medical,1,920,Male,3,Sales Executive,Divorced,43770,5.0,Y,12,8,1,19.0,2,14,1,11,4.0,1.0,3.0,2,3,"7,507"
20,No,Travel_Rarely,Research & Development,18,4,Medical,1,921,Female,2,Sales Executive,Single,37430,1.0,Y,13,8,1,2.0,2,2,2,2,3.0,3.0,3.0,3,3,"6,2"
34,No,Travel_Rarely,Research & Development,10,3,Medical,1,922,Male,3,Laboratory Technician,Divorced,41480,1.0,Y,11,8,0,11.0,3,11,7,9,4.0,2.0,3.0,3,3,"7,2117"
36,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,923,Female,2,Healthcare Representative,Single,10510,2.0,Y,14,8,0,15.0,2,4,1,3,1.0,2.0,3.0,3,3,"5,4816"
49,No,Travel_Rarely,Human Resources,6,2,Life Sciences,1,924,Female,2,Research Scientist,Married,107390,2.0,Y,11,8,3,30.0,3,15,2,12,3.0,3.0,3.0,3,3,"8,2603"
36,No,Non-Travel,Research & Development,8,4,Life Sciences,1,925,Male,4,Laboratory Technician,Married,103880,0.0,Y,14,8,0,4.0,2,3,1,2,4.0,3.0,3.0,3,3,"7,6985"
36,No,Travel_Rarely,Research & Development,2,2,Medical,1,926,Female,2,Healthcare Representative,Divorced,114160,6.0,Y,16,8,0,13.0,2,5,0,4,4.0,1.0,3.0,3,3,"6,0313"
54,No,Travel_Rarely,Sales,24,3,Marketing,1,927,Male,1,Laboratory Technician,Married,26000,3.0,Y,14,8,0,36.0,5,10,4,7,2.0,3.0,3.0,3,3,"7,0055"
43,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,928,Female,1,Research Scientist,Married,24220,1.0,Y,11,8,1,14.0,2,14,6,11,3.0,3.0,3.0,3,3,"7,4178"
35,Yes,Travel_Frequently,Research & Development,17,4,Medical,1,929,Male,1,Research Director,Single,54720,3.0,Y,11,8,1,13.0,3,11,6,7,4.0,4.0,4.0,2,3,"7,7742"
38,No,Travel_Frequently,Research & Development,19,2,Life Sciences,1,930,Male,2,Research Scientist,Married,24510,7.0,Y,12,8,1,19.0,3,13,2,9,4.0,4.0,4.0,3,3,"6,9957"
29,No,Travel_Rarely,Research & Development,1,2,Medical,1,931,Male,2,Sales Representative,Divorced,42400,1.0,Y,14,8,0,10.0,2,10,0,9,1.0,2.0,2.0,2,3,"10,4468"
33,No,Travel_Rarely,Research & Development,7,3,Medical,1,932,Male,5,Sales Executive,Divorced,109990,1.0,Y,18,8,3,6.0,3,6,0,4,4.0,4.0,3.0,2,3,"5,8456"
32,No,Travel_Rarely,Research & Development,5,4,Technical Degree,1,933,Male,5,Research Scientist,Divorced,50030,,Y,13,8,0,10.0,5,9,1,6,4.0,2.0,2.0,3,3,"6,0425"
31,No,Travel_Rarely,Research & Development,28,4,Technical Degree,1,934,Female,2,Sales Executive,Married,127420,1.0,Y,11,8,0,10.0,4,10,0,2,1.0,4.0,3.0,2,3,"7,1829"
49,No,Travel_Rarely,Research & Development,2,4,Medical,1,935,Male,1,Laboratory Technician,Divorced,42270,4.0,Y,18,8,0,17.0,3,2,2,2,4.0,1.0,2.0,2,3,"9,1501"
38,No,Travel_Frequently,Sales,29,2,Medical,1,936,Female,1,Sales Executive,Single,39170,1.0,Y,15,8,3,4.0,2,4,3,3,4.0,2.0,3.0,3,3,"7,5559"
47,No,Travel_Rarely,Research & Development,1,4,Medical,1,937,Male,3,Laboratory Technician,Divorced,183030,6.0,Y,22,8,1,29.0,2,3,1,2,2.0,2.0,3.0,2,4,"6,3068"
49,No,Travel_Rarely,Research & Development,21,3,Medical,1,938,Male,2,Manufacturing Director,Single,23800,4.0,Y,13,8,0,23.0,3,8,0,0,3.0,3.0,3.0,1,3,"6,1049"
41,No,Travel_Rarely,Research & Development,24,4,Life Sciences,1,939,Female,4,Manager,Single,137260,3.0,Y,12,8,0,21.0,6,2,0,2,4.0,3.0,3.0,4,3,"10,607"
20,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,940,Male,1,Sales Representative,Single,47770,1.0,Y,18,8,1,2.0,3,2,0,2,4.0,1.0,3.0,3,3,"7,456"
33,No,Non-Travel,Research & Development,18,2,Medical,1,941,Female,2,Healthcare Representative,Divorced,63850,1.0,Y,13,8,0,7.0,6,6,1,2,3.0,4.0,3.0,2,3,"9,0306"
36,No,Travel_Rarely,Research & Development,2,2,Technical Degree,1,942,Male,3,Sales Executive,Married,199730,6.0,Y,12,8,0,10.0,2,3,0,2,1.0,3.0,2.0,3,3,"5,4562"
44,No,Travel_Rarely,Research & Development,9,3,Technical Degree,1,943,Female,3,Healthcare Representative,Divorced,68610,4.0,Y,12,8,0,8.0,2,2,2,2,3.0,4.0,3.0,2,3,"7,9786"
23,Yes,Travel_Rarely,Human Resources,6,3,Life Sciences,1,944,Female,3,Laboratory Technician,Single,49690,1.0,Y,12,8,0,5.0,3,5,1,2,4.0,3.0,3.0,3,3,"7,8013"
38,No,Travel_Rarely,Research & Development,11,2,Life Sciences,1,945,Male,1,Sales Executive,Married,198450,7.0,Y,11,8,1,7.0,3,0,0,0,4.0,3.0,2.0,3,3,"7,0916"
53,No,Travel_Rarely,Research & Development,24,3,Life Sciences,1,946,Male,4,Research Director,Married,133200,3.0,Y,11,8,0,11.0,2,4,1,2,2.0,4.0,3.0,3,3,"7,5406"
48,Yes,Travel_Frequently,Sales,10,2,Marketing,1,947,Male,1,Healthcare Representative,Married,63470,2.0,Y,12,8,1,19.0,3,9,7,7,4.0,3.0,3.0,1,3,"9,4064"
32,Yes,Travel_Rarely,Sales,1,3,Life Sciences,1,948,Male,2,Research Scientist,Single,27430,1.0,Y,19,8,1,1.0,2,1,0,0,4.0,2.0,3.0,3,3,"7,2856"
26,No,Non-Travel,Research & Development,18,2,Medical,1,949,Male,1,Human Resources,Single,108800,1.0,Y,23,8,1,7.0,5,7,5,7,4.0,4.0,3.0,3,4,"7,0747"
55,No,Travel_Rarely,Research & Development,23,1,Life Sciences,1,950,Male,5,Laboratory Technician,Divorced,23420,5.0,Y,11,8,2,8.0,2,4,1,2,1.0,2.0,3.0,3,3,"7,6076"
34,No,Travel_Rarely,Sales,28,3,Life Sciences,1,951,Female,2,Research Scientist,Married,176500,1.0,Y,19,8,1,15.0,6,15,4,13,2.0,4.0,4.0,1,3,"7,4248"
60,No,Travel_Rarely,Sales,17,4,Medical,1,952,Male,1,Manager,Divorced,40250,3.0,Y,13,8,1,19.0,5,1,0,0,3.0,4.0,4.0,2,3,"5,835"
33,No,Travel_Rarely,Sales,3,3,Life Sciences,1,953,Male,3,Manager,Married,97250,1.0,Y,11,8,0,14.0,0,14,2,13,2.0,2.0,3.0,3,3,"7,2241"
37,No,Travel_Frequently,Research & Development,13,3,Life Sciences,1,954,Male,1,Laboratory Technician,Divorced,119040,1.0,Y,12,8,1,6.0,4,6,1,3,3.0,4.0,2.0,3,3,"6,3567"
34,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,955,Male,1,Healthcare Representative,Married,21770,1.0,Y,13,8,0,10.0,5,10,8,7,2.0,4.0,3.0,3,3,"6,5752"
23,Yes,Travel_Rarely,Research & Development,12,2,Medical,1,956,Male,2,Research Scientist,Divorced,75250,1.0,Y,14,8,2,3.0,2,3,0,2,3.0,4.0,3.0,3,3,"9,0724"
44,No,Travel_Rarely,Human Resources,1,3,Life Sciences,1,957,Male,1,Research Scientist,Married,48340,1.0,Y,14,8,0,9.0,1,8,6,7,3.0,4.0,3.0,4,3,"8,1639"
35,No,Travel_Frequently,Research & Development,13,3,Life Sciences,1,958,Male,3,Sales Executive,Single,20420,0.0,Y,16,8,0,6.0,2,5,1,4,1.0,4.0,4.0,3,3,"7,6366"
43,No,Travel_Rarely,Research & Development,25,4,Life Sciences,1,959,Male,2,Sales Executive,Married,22200,1.0,Y,11,8,0,10.0,2,10,8,8,4.0,4.0,3.0,1,3,"7,801"
24,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,960,Male,3,Sales Executive,Married,10520,1.0,Y,13,8,0,5.0,3,5,0,4,3.0,3.0,3.0,3,3,"6,4417"
41,No,Travel_Rarely,Sales,6,4,Marketing,1,961,Male,1,Research Scientist,Single,28210,1.0,Y,17,8,0,10.0,3,10,8,7,4.0,3.0,3.0,3,3,"6,5261"
29,No,Travel_Rarely,Research & Development,2,2,Life Sciences,1,962,Male,2,Research Scientist,Married,192370,9.0,Y,11,8,1,9.0,2,5,1,2,4.0,3.0,3.0,3,3,"7,3527"
36,No,Travel_Rarely,Human Resources,1,4,Life Sciences,1,963,Female,3,Research Scientist,Single,41070,3.0,Y,11,8,1,17.0,2,13,6,7,3.0,4.0,2.0,1,3,"5,8319"
45,No,Non-Travel,Sales,2,3,Life Sciences,1,964,Female,2,Manufacturing Director,Married,83960,3.0,Y,15,8,2,25.0,3,23,14,4,3.0,3.0,2.0,2,3,"5,9937"
24,Yes,Travel_Rarely,Sales,6,2,Medical,1,965,Female,2,Manager,Married,20070,1.0,Y,12,8,0,1.0,2,1,0,0,4.0,3.0,3.0,2,3,"6,0749"
47,Yes,Travel_Frequently,Research & Development,1,3,Medical,1,966,Female,2,Sales Executive,Married,196270,7.0,Y,11,8,2,25.0,1,23,14,10,3.0,3.0,1.0,3,3,"6,4594"
26,No,Travel_Rarely,Research & Development,9,1,Medical,1,967,Male,1,Sales Executive,Married,106860,1.0,Y,14,8,1,3.0,2,3,0,2,4.0,3.0,4.0,3,3,"7,5958"
45,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,968,Male,1,Research Director,Single,29420,1.0,Y,22,8,1,21.0,4,21,8,6,4.0,2.0,3.0,3,4,"5,9972"
32,No,Travel_Frequently,Sales,1,1,Marketing,1,969,Male,2,Laboratory Technician,Married,88580,6.0,Y,16,8,1,10.0,2,5,1,3,1.0,3.0,2.0,3,3,"6,27"
31,No,Travel_Rarely,Research & Development,14,2,Life Sciences,1,970,Male,1,Sales Executive,Married,167560,1.0,Y,11,8,2,6.0,5,5,0,3,2.0,3.0,4.0,3,3,"6,584"
41,No,Non-Travel,Sales,2,2,Medical,1,971,Male,2,Research Scientist,Married,107980,6.0,Y,14,8,2,10.0,5,3,1,2,3.0,2.0,3.0,1,3,"7,1645"
40,No,Travel_Rarely,Research & Development,22,2,Technical Degree,1,972,Male,1,Healthcare Representative,Married,23230,2.0,Y,16,8,1,18.0,2,1,0,0,2.0,1.0,3.0,3,3,"9,3124"
24,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,973,Female,1,Research Scientist,Divorced,14160,1.0,Y,15,8,1,6.0,3,6,1,2,2.0,1.0,4.0,2,3,"5,582"
46,No,Travel_Rarely,Research & Development,6,3,Medical,1,974,Male,4,Sales Executive,Single,46150,6.0,Y,12,8,0,19.0,3,10,0,9,3.0,2.0,3.0,2,3,"7,4236"
35,No,Travel_Rarely,Sales,8,4,Life Sciences,1,975,Male,1,Laboratory Technician,Married,24610,2.0,Y,20,8,1,17.0,4,7,0,7,4.0,3.0,3.0,3,4,"6,6983"
30,No,Travel_Rarely,Sales,9,4,Marketing,1,976,Male,1,Laboratory Technician,Married,87220,1.0,Y,17,8,1,10.0,3,10,0,8,2.0,4.0,2.0,3,3,"6,692"
47,No,Non-Travel,Research & Development,3,2,Life Sciences,1,977,Female,2,Sales Executive,Married,39550,7.0,Y,12,8,1,4.0,5,1,0,0,3.0,2.0,1.0,3,3,"7,2562"
46,No,Travel_Rarely,Research & Development,1,4,Technical Degree,1,978,Female,3,Sales Executive,Divorced,99570,4.0,Y,20,8,0,13.0,1,10,0,3,3.0,4.0,2.0,3,4,"9,091"
36,Yes,Travel_Rarely,Research & Development,1,3,Medical,1,979,Male,2,Manufacturing Director,Divorced,33760,5.0,Y,20,8,0,16.0,3,2,2,2,2.0,1.0,3.0,3,4,"9,9603"
32,Yes,Travel_Rarely,Research & Development,26,3,Medical,1,980,Female,2,Research Director,Single,88230,6.0,Y,13,8,2,10.0,3,0,0,0,1.0,2.0,3.0,3,3,"6,8169"
23,No,Travel_Rarely,Sales,6,4,Life Sciences,1,981,Male,3,Manufacturing Director,Single,103220,1.0,Y,14,8,2,3.0,2,3,1,2,3.0,2.0,1.0,3,3,"5,6875"
31,No,Travel_Frequently,Sales,3,3,Marketing,1,982,Male,2,Sales Executive,Single,46210,2.0,Y,18,8,1,9.0,3,5,1,4,4.0,4.0,2.0,3,3,"6,1759"
39,No,Non-Travel,Research & Development,3,3,Life Sciences,1,983,Female,2,Manufacturing Director,Married,109760,1.0,Y,11,8,0,9.0,3,9,5,8,4.0,4.0,3.0,2,3,"10,1165"
32,No,Travel_Rarely,Research & Development,6,3,Technical Degree,1,984,Male,1,Research Scientist,Married,36600,3.0,Y,11,8,2,10.0,0,4,0,2,4.0,3.0,1.0,2,3,"7,4766"
40,No,Travel_Rarely,Sales,6,3,Life Sciences,1,985,Male,3,Manufacturing Director,Single,104820,1.0,Y,11,8,1,21.0,6,21,12,8,2.0,2.0,2.0,2,3,"7,7161"
45,No,Travel_Rarely,Research & Development,19,4,Medical,1,986,Male,1,Sales Representative,Married,71190,4.0,Y,15,8,0,9.0,2,5,0,3,3.0,3.0,4.0,3,3,"7,5049"
30,No,Travel_Frequently,Sales,9,3,Life Sciences,1,987,Male,1,Research Director,Single,95820,0.0,Y,12,8,1,10.0,2,9,0,7,4.0,1.0,3.0,3,3,"5,924"
24,No,Travel_Frequently,Sales,3,4,Marketing,1,988,Male,1,Sales Executive,Married,45080,0.0,Y,11,8,1,3.0,5,2,2,1,1.0,4.0,,3,3,"5,6163"
30,Yes,Travel_Frequently,Research & Development,10,3,Life Sciences,1,989,Female,1,Human Resources,Divorced,22070,6.0,Y,14,8,0,6.0,4,4,1,2,3.0,4.0,2.0,3,3,"6,2051"
31,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,990,Male,3,Laboratory Technician,Married,77560,1.0,Y,15,8,2,6.0,3,5,0,2,1.0,3.0,3.0,4,3,"7,0288"
27,No,Travel_Rarely,Sales,3,3,Life Sciences,1,991,Male,1,Manager,Single,66940,1.0,Y,13,8,1,6.0,2,6,1,4,3.0,4.0,2.0,2,3,"5,7975"
29,Yes,Travel_Rarely,Sales,4,3,Marketing,1,992,Male,5,Research Scientist,Single,36910,1.0,Y,13,8,0,2.0,3,2,2,2,2.0,2.0,3.0,3,3,"6,2591"
29,No,Travel_Frequently,Research & Development,8,4,Life Sciences,1,993,Female,1,Sales Executive,Single,23770,8.0,Y,21,8,1,10.0,2,3,0,2,4.0,3.0,4.0,3,4,"8,4867"
30,No,Travel_Rarely,Sales,7,3,Life Sciences,1,994,Male,3,Sales Executive,Divorced,23130,2.0,Y,11,8,0,12.0,5,7,1,7,3.0,1.0,3.0,3,3,"7,4501"
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,995,Female,2,Healthcare Representative,Married,176650,0.0,Y,11,8,0,6.0,5,5,1,2,4.0,4.0,3.0,2,3,"9,4568"
33,No,Non-Travel,Research & Development,2,4,Medical,1,996,Male,1,Sales Representative,Single,25960,8.0,Y,14,8,1,13.0,4,11,1,7,4.0,2.0,2.0,3,3,"6,7633"
49,No,Travel_Rarely,Sales,3,4,Marketing,1,997,Male,1,Sales Executive,Single,47280,3.0,Y,11,8,1,8.0,4,5,0,4,4.0,4.0,4.0,3,3,"7,6048"
33,Yes,Travel_Rarely,Research & Development,10,3,Life Sciences,1,998,Male,1,Sales Executive,Single,43020,2.0,Y,13,8,0,11.0,3,0,0,0,1.0,1.0,2.0,1,3,"7,5801"
38,No,Travel_Frequently,Research & Development,28,3,Medical,1,999,Male,1,Healthcare Representative,Married,29790,4.0,Y,12,8,1,9.0,3,6,0,5,3.0,2.0,2.0,3,3,"7,7521"
31,Yes,Travel_Rarely,Human Resources,9,4,Human Resources,1,1000,Male,2,Laboratory Technician,Married,168850,2.0,Y,14,8,2,10.0,2,1,0,0,1.0,3.0,3.0,3,3,"6,0184"
29,No,Travel_Rarely,Research & Development,3,4,Other,1,1001,Female,2,Sales Representative,Divorced,55930,1.0,Y,13,8,1,1.0,3,1,0,0,4.0,1.0,3.0,3,3,"5,7109"
30,No,Travel_Rarely,Research & Development,2,1,Medical,1,1002,Male,1,Sales Representative,Married,104450,3.0,Y,18,8,1,10.0,3,7,1,7,3.0,3.0,3.0,3,3,"6,552"
32,No,Non-Travel,Research & Development,10,4,Life Sciences,1,1003,Female,1,Laboratory Technician,Single,87400,2.0,Y,11,8,1,12.0,2,7,0,7,2.0,2.0,3.0,3,3,"5,5088"
38,No,Travel_Rarely,Research & Development,8,2,Technical Degree,1,1004,Female,1,Manufacturing Director,Married,25140,3.0,Y,11,8,0,15.0,2,1,1,0,2.0,4.0,3.0,2,3,"8,5123"
43,Yes,Travel_Frequently,Research & Development,1,4,Other,1,1005,Male,3,Sales Executive,Married,76550,9.0,Y,12,8,1,6.0,3,1,0,0,3.0,3.0,3.0,3,3,"8,1034"
42,No,Travel_Rarely,Human Resources,1,3,Other,1,1006,Female,1,Healthcare Representative,Divorced,174650,8.0,Y,13,8,1,7.0,3,5,0,4,2.0,2.0,2.0,3,3,"6,2811"
55,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,1007,Female,1,Sales Executive,Married,73510,8.0,Y,20,8,1,34.0,3,1,0,0,3.0,1.0,3.0,3,4,"7,0869"
33,No,Non-Travel,Research & Development,14,3,Other,1,1008,Male,1,Research Scientist,Divorced,108200,5.0,Y,12,8,0,11.0,2,9,1,7,4.0,2.0,2.0,3,3,"6,2554"
41,No,Travel_Rarely,Research & Development,5,3,Medical,1,1009,Male,1,Sales Representative,Divorced,121690,1.0,Y,19,8,0,5.0,2,5,0,4,3.0,1.0,3.0,3,3,"6,0097"
34,No,Non-Travel,Research & Development,7,4,Medical,1,1010,Female,1,Research Scientist,Divorced,196260,1.0,Y,21,8,0,15.0,5,15,0,7,4.0,3.0,3.0,2,4,"7,8463"
53,No,Non-Travel,Research & Development,10,4,Medical,1,1011,Male,2,Healthcare Representative,Married,20700,4.0,Y,13,8,2,27.0,2,3,0,2,1.0,3.0,2.0,4,3,"7,554"
43,No,Travel_Rarely,Sales,16,2,Marketing,1,1012,Female,1,Laboratory Technician,Single,67820,0.0,Y,16,8,1,10.0,2,9,1,8,2.0,4.0,3.0,3,3,"5,7217"
34,No,Travel_Rarely,Sales,10,2,Life Sciences,1,1013,Female,5,Sales Executive,Single,77790,5.0,Y,12,8,1,6.0,2,2,2,2,4.0,4.0,3.0,3,3,"7,5487"
21,Yes,Travel_Rarely,Sales,1,2,Marketing,1,1014,Male,5,Healthcare Representative,Single,27910,1.0,Y,14,8,0,1.0,3,1,1,0,2.0,2.0,3.0,4,3,"7,0667"
38,No,Travel_Rarely,Research & Development,8,2,Life Sciences,1,1015,Female,2,Sales Executive,Married,32010,1.0,Y,11,8,1,5.0,3,5,0,4,4.0,3.0,3.0,2,3,"6,0465"
22,Yes,Travel_Rarely,Research & Development,1,3,Other,1,1016,Male,4,Research Scientist,Married,49680,1.0,Y,14,8,0,1.0,3,1,0,0,3.0,1.0,3.0,3,3,"8,6639"
31,No,Travel_Rarely,Research & Development,8,5,Life Sciences,1,1017,Male,5,Sales Executive,Married,131200,1.0,Y,12,8,2,13.0,6,12,5,7,1.0,4.0,3.0,2,3,"6,7963"
51,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,1018,Female,1,Manager,Married,40330,2.0,Y,14,8,0,15.0,2,2,2,2,1.0,3.0,3.0,3,3,"6,3962"
37,No,Travel_Rarely,Research & Development,24,1,Life Sciences,1,1019,Male,2,Sales Executive,Married,32910,1.0,Y,16,8,3,5.0,2,5,0,3,2.0,2.0,3.0,2,3,"7,7503"
46,No,Travel_Rarely,Sales,3,4,Marketing,1,1020,Female,1,Sales Representative,Divorced,42720,7.0,Y,13,8,0,24.0,3,2,2,2,3.0,4.0,3.0,4,3,"9,8583"
36,No,Travel_Rarely,Research & Development,27,3,Technical Degree,1,1021,Female,4,Research Scientist,Married,50560,7.0,Y,12,8,0,15.0,2,12,5,7,4.0,1.0,3.0,2,3,"9,2014"
44,Yes,Travel_Frequently,Sales,10,4,Life Sciences,1,1022,Male,1,Research Scientist,Divorced,28440,1.0,Y,12,8,0,6.0,2,5,2,3,3.0,2.0,2.0,4,3,"8,5764"
37,No,Travel_Rarely,Research & Development,19,2,Technical Degree,1,1023,Male,2,Sales Executive,Divorced,27030,2.0,Y,14,8,0,19.0,2,10,4,7,3.0,2.0,2.0,3,3,"5,5958"
